neighbour_id,neighbour_name,district_id,district_name,municipality_name,nom_arr,centroid_longitude,centroid_latitude
53,Rivière-des-Prairies,33.0,Rivière-des-Prairies–Pointe-aux-Trembles,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,-73.54350202790988,45.66357948386908
24,Beaurivage,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
23,Tétreaultville,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
22,Dupéré,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
25,Guybourg,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
26,Longue-Pointe,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
21,Louis-Riel,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
20,Marie-Victorin,24.0,Rosemont–La Petite-Patrie,Montréal,Rosemont–La Petite-Patrie,-73.56721381052334,45.56892828445509
28,Maisonneuve,22.0,Mercier–Hochelaga-Maisonneuve,Montréal,Mercier–Hochelaga-Maisonneuve,-73.51300971980858,45.596041911618876
08,René-Goupil,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.61485200145209,45.578545254421925
07,Sainte-Lucie,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.61485200145209,45.578545254421925
04,Sault-au-Récollet,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66037334282547,45.55814109958097
05,Saint-Sulpice,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66037334282547,45.55814109958097
03,Nicolas-Viel,23.0,Ahuntsic-Cartierville,Montréal,Ahuntsic-Cartierville,-73.66037334282547,45.55814109958097
10,François-Perrault,25.0,Villeray–Saint-Michel–Parc-Extension,Montréal,Villeray–Saint-Michel–Parc-Extension,-73.61485200145209,45.578545254421925
43,Savane,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.65122585813052,45.493698743847226
40,Snowdon,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.65122585813052,45.493698743847226
46,Côte-Saint-Antoine,34.0,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,Côte-des-Neiges–Notre-Dame-de-Grâce,-73.65122585813052,45.493698743847226
49,Ville-Émard,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.6014951256969,45.44979089163696
50,Saint-Henri,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.6014951256969,45.44979089163696
48,Côte-Saint-Paul,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.6014951256969,45.44979089163696
47,Pointe-Saint-Charles,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.6014951256969,45.44979089163696
51,Petite-Bourgogne,20.0,Le Sud-Ouest,Montréal,Le Sud-Ouest,-73.6014951256969,45.44979089163696
39,Montagne,19.0,Ville-Marie,Montréal,Ville-Marie,-73.58757073685098,45.50120665985256
38,René-Lévesque,19.0,Ville-Marie,Montréal,Ville-Marie,-73.58757073685098,45.50120665985256
